Api_Res,Month/Year,OIL BBLS,GAS MCF,WATER BBLS,DAYS
3723253571,01/1994,0,0,0,0
3723253571,02/1994,652,9208,0,3
3723253571,03/1994,4262,84878,146,31
3723253571,04/1994,2244,50735,211,30
3723253571,05/1994,1404,33936,112,28
3723253571,06/1994,1415,32551,113,29
3723253571,07/1994,1065,26010,94,27
3723253571,08/1994,800,18745,59,21
3723253571,09/1994,1230,18257,84,30
3723253571,10/1994,739,12638,27,24
3723253571,11/1994,1072,15567,110,30
3723253571,12/1994,967,15538,92,31
3723253571,01/1995,911,13317,69,31
3723253571,02/1995,844,11678,62,28
3723253571,03/1995,848,11401,59,30
3723253571,04/1995,778,10862,56,30
3723253571,05/1995,668,10311,64,24
3723253571,06/1995,754,9845,65,30
3723253571,07/1995,720,9417,65,31
3723253571,08/1995,689,9003,61,31
3723253571,09/1995,659,8144,62,30
3723253571,10/1995,699,8339,59,31
3723253571,11/1995,562,8087,65,30
3723253571,12/1995,783,20355,156,31
3723253571,01/1996,573,15513,91,24
3723253571,02/1996,569,16207,81,29
3723253571,03/1996,549,15442,84,31
3723253571,04/1996,412,11709,73,30
3723253571,05/1996,521,13377,57,30
3723253571,06/1996,530,12931,97,30
3723253571,07/1996,488,13206,86,31
3723253571,08/1996,469,13328,80,28
3723253571,09/1996,517,13297,109,27
3723253571,10/1996,435,13998,91,24
3723253571,11/1996,373,11858,24,30
3723253571,12/1996,529,13082,95,30
3723253571,01/1997,448,13466,97,29
3723253571,02/1997,416,9837,69,21
3723253571,03/1997,409,9988,59,27
3723253571,04/1997,512,12266,61,29
3723253571,05/1997,242,8568,27,28
3723253571,06/1997,132,5739,3,27
3723253571,07/1997,558,11696,71,27
3723253571,08/1997,452,13146,100,26
3723253571,09/1997,397,11992,81,29
3723253571,10/1997,1081,11181,0,31
3723253571,11/1997,349,10898,72,29
3723253571,12/1997,341,11106,66,31
3723253571,01/1998,366,11017,72,31
3723253571,02/1998,294,8538,63,22
3723253571,03/1998,367,11415,73,31
3723253571,04/1998,303,9931,58,30
3723253571,05/1998,323,10073,73,31
3723253571,06/1998,264,9661,50,30
3723253571,07/1998,323,9984,61,31
3723253571,08/1998,274,9596,40,31
3723253571,09/1998,305,9453,61,30
3723253571,10/1998,205,8649,23,30
3723253571,11/1998,300,8162,5,30
3723253571,12/1998,247,8700,12,31
3723253571,01/1999,260,8596,17,31
3723253571,02/1999,334,8570,91,28
3723253571,03/1999,403,11387,71,29
3723253571,04/1999,283,9077,48,29
3723253571,05/1999,287,9983,49,30
3723253571,06/1999,285,8785,55,29
3723253571,07/1999,240,8969,13,31
3723253571,08/1999,216,8389,1,31
3723253571,09/1999,304,9126,82,30
3723253571,10/1999,228,8477,13,31
3723253571,11/1999,267,8296,34,30
3723253571,12/1999,256,8263,25,31
3723253571,01/2000,270,8575,9,31
3723253571,02/2000,247,7582,29,29
3723253571,03/2000,254,7833,4,31
3723253571,04/2000,194,7579,15,30
3723253571,05/2000,322,7926,70,25
3723253571,06/2000,234,8415,26,30
3723253571,07/2000,198,7203,34,26
3723253571,08/2000,186,8172,1,31
3723253571,09/2000,217,7335,48,28
3723253571,10/2000,219,8258,8,31
3723253571,11/2000,259,7770,33,30
3723253571,12/2000,229,8043,22,31
3723253571,01/2001,248,7812,46,29
3723253571,02/2001,196,5918,20,21
3723253571,03/2001,189,7082,4,31
3723253571,04/2001,187,6724,13,30
3723253571,05/2001,226,7422,33,31
3723253571,06/2001,148,6454,1,30
3723253571,07/2001,259,7570,59,31
3723253571,08/2001,200,7584,20,31
3723253571,09/2001,167,6517,25,26
3723253571,10/2001,232,7505,16,31
3723253571,11/2001,159,6159,27,27
3723253571,12/2001,203,7238,25,31
3723253571,01/2002,187,7024,14,31
3723253571,02/2002,141,6423,14,28
3723253571,03/2002,193,6996,32,31
3723253571,04/2002,160,6957,19,30
3723253571,05/2002,187,6962,0,31
3723253571,06/2002,132,6457,0,30
3723253571,07/2002,159,6524,40,29
3723253571,08/2002,168,7301,16,31
3723253571,09/2002,117,5721,9,28
3723253571,10/2002,165,6299,0,31
3723253571,11/2002,177,6046,1,30
3723253571,12/2002,162,6285,28,31
3723253571,01/2003,196,6657,6,31
3723253571,02/2003,133,5454,2,28
3723253571,03/2003,168,6112,1,31
3723253571,04/2003,167,4842,13,30
3723253571,05/2003,378,9958,112,31
3723253571,06/2003,214,8023,70,30
3723253571,07/2003,275,8497,68,31
3723253571,08/2003,169,7013,48,28
3723253571,09/2003,148,5873,32,30
3723253571,10/2003,66,3454,7,29
3723253571,11/2003,94,4343,6,29
3723253571,12/2003,168,5285,9,31
3723253571,01/2004,279,7196,46,31
3723253571,02/2004,193,7122,50,29
3723253571,03/2004,179,7485,50,31
3723253571,04/2004,168,7268,36,30
